undefined"E 1 ","ဧ ၁ ","undefined","",""ဧ" အက္ခရာ ၊ "ဧ" သရ ။ လေးဆယ့် တစ်လုံး ( လေးဆယ်သုံးလုံး ) သော အက္ခရာ , ရှစ်လုံး ( ဆယ်လုံး ) သော သရတို့တွင် ခုနစ်လုံးမြောက် ၊ လည်ချောင်း , အာစောက် အရပ်၌ ဖြစ်သော ( ကဏ္ဌတာလုဇ ) ၊ ရှည်သော အသံဖြင့် ရွတ်ဆိုအပ်သော ( ဒီဃ ) ၊ နိဂ္ဂဟိတ် မှ တစ်ပါးသောဗျည်းတို့၏ မှီရာဖြစ်သော ( နိဿယ ) - အက္ခရာ - သရ ။ ကစ္စည်း။"
"E 2","ဧ ၂","undefined","","(က) "ဧ" ဓာတ် ။ (ခ) "ဧ" ဝိဘတ်။ (ဂ) "ဧ" ပစ္စည်း ။ (ဃ) အခြားအက္ခရာမှ ပြောင်းလာသော "ဧ" ( အာဒေသ - ဧ )။"
"E 3 (pu)","ဧ ၃ (ပု)","[ ဧသ + ကွိ ။ ဧသု + ကွိ  ]   ","[ esa + kvi. Esu + kvi ]  ","ဆိတ် ၊ သိုး ။"
"Ekaṃsa (pu)","ဧကံသ (ပု)","[ ဧက + အံသ။ ","[ eka + aṃsa. ","ဧကာၐ (သံ)  ] (၁) တစ်ခုသော - အဖို့ - အစု ။ (၂) တစ်ခု - တစ်ဖက် - သော ပခုံး စွန်း ၊ လက်ဝဲပုခုံးစွန်း ။ (၃) စင်စစ် - မချွတ်မယွင်း - ဧကန် - အမှန် မုချ ။ (တိ) (၄) လက်ဝဲတစ်ဖက်ပုခုံးထက်၌ ရှိသော ။ (၅) တစ်ခုသော လက်ဝဲပခုံးစွန်း ၌ - ပြုအပ် - တင်အပ် - သော အပေါ်ရုံ စုလျားရှိသော ၊ သူ။"
"Ekaṃ sakatauttarāsaṅga (ti)","ဧကံ သကတဥတ္တရာသင်္ဂ (တိ)","[ ဧကံသကတ + ဥတ္တရာသင်္ဂ ]","[ ekaṃsakata + uttarāsaṅga ]","တစ်ခုသော လက်ဝဲပခုံးစွန်း ၌ - ပြုအပ် - တင်အပ် - သော အပေါ်ရုံ စုလျားရှိသော ၊ သူ။ အထက်ပုဒ် (တိ) (၅) ကြည့်။"
"Ekaṃsakatapāvāradibbavattha (ti)","ဧကံသကတပါဝါရဒိဗ္ဗဝတ္ထ (တိ)","[ ဧကံသကတ + ပါဝါရဒိဗ္ဗဝတ္ထ ]","[ ekaṃsakata + pāvāradibbavattha ]","တစ်ခုသော လက်ဝဲ ပခုံးစွန်း၌ - ပြုအပ် - တင်အပ် - သော အပေါ်ရုံ နတ်အဝတ် ရှိသော ၊ သူ။"
"Ekaṃsakāraṇa (na)","ဧကံသကာရဏ (န)","[ ဧကံသ + ကာရဏ ]","[ ekaṃsa + kāraṇa ]","စင် စစ်ဧကန် - အမှန်မုချ - ဖြစ်သော အကြောင်း။"
"Ekaṃsagata (ti)","ဧကံသဂတ (တိ)","[ ဧကံသ + ဂတ ]","[ ekaṃsa + gata ]","တစ်ခုသော လက်ဝဲ - ပခုံးစွန်းသို့ရောက် - ပခုံးစွန်း၌ဖြစ် - ပခုံးစွန်း၌တည် - သော ။"
"Ekaṃsagāhavanthu (ti)","ဧကံသဂါဟဝန္ထု (တိ)","[  ဧကံသဂါဟ + ဝန္တု ။ ထီ  - ၌ ဧကံသဂါဟဝတီ ]","[ ekaṃsagāha + vantu. Thī - ၌ ekaṃsagāhavatī ]","တစ်ခုသော အဖို့ကို ယူခြင်း ရှိသော ၊ သူ။ ဧကံသိက (၂) ကြည့်။"
"Ekaṃsagāhika (ti)","ဧကံသဂါဟိက (တိ)","[  ဧကံသဂါဟ + ဣက ]","[ ekaṃsagāha + ika ]","တစ်ခုသော အဖို့ ကို ယူခြင်း ရှိသော ၊ သူ။"
"Ekaṃsaggāha (pu)","ဧကံသဂ္ဂါဟ (ပု)","[ ဧကံသ + ဂါဟ ]","[ ekaṃsa + gāha ]","(၁) တစ်ခု သော အဖို့ကို ယူခြင်း ။ (တိ) (၂) တစ်ခုသော အဖို့ကို ယူသော ။ "
