undefined"O 1","ဩ ၁","undefined","",""ဩ" အက္ခရာ၊ "ဩ"သရ။ လေးဆယ့်တစ်လုံး (လေးဆယ့်သုံးလုံး)သော အက္ခရာ, ရှစ်လုံး (ဆယ်လုံး)သော သရတို့တွင် ရှစ်လုံးမြောက်၊ လည်ချောင်း, နှုတ်ခမ်းအရပ်၌ ဖြစ်သော (ကဏ္ဌဩဋ္ဌဇ)၊ ရှည်သောအသံ ဖြင့် ရွက်ဆိုအပ်သော (ဒီဃ)၊ နိဂ္ဂဟိတ်မှတပါးသော ဗျည်းတို့၏ မှီရာဖြစ်သော (နိဿယ)-အက္ခရာ-သရ။ ကစ္စည်း။ ၂၊ ၄၊ ၅။ ရူ။ ၂၊ ၃၊၅။ နီတိ၊ သုတ္တ။ ၂၊ ၃၊ ၅။ မောဂ်။ ၁။ ၅။ (မောဂ်၊ ၁။ ၄-၌ ရဿမည်သော "ဩတ်"သရကို ဆိုထားသည်။)"
"O 2","ဩ ၂","undefined","","(က) "ဩ" ဝိဘတ်။ (ခ) "ဩ"ပစ္စည်း။ (ဂ) လာသော "ဩ" (အာဂမ-ဩ)။ (ဃ) အခြားအက္ခရာ မှ ပြောင်းလာသော "ဩ" (အာဒေသ-ဩ)။ "
"O 3","ဩ ၃","undefined","","ဥပဿရ "ဩ"။ [အဝ (သံ)] မောဂ်၊ ၅။ ၁၃၁-၌ "ဩ" ဥပသာရပုဒ်ကို ပြဆိုထား၏။ နိရုတ္တိ၊ နှာ။ ၁၅၈-၌ "ဩ" ဥပသာရပုဒ်၏ အနက်တို့ကို ဤသို့ပြ ဆိုထားသည်။ (၁) အန္တောဘာ၀= အတွင်း၏ အဖြစ်။ ဩစရကော။ ဩရောဓော။ (၂) အဓောကမ္မ = အောက်ကြိယာ။ ဩက္ခိတ္တော။ (၃) နိဂ္ဂဟ = နှိပ်ကွက်ခြင်း။ ဩဝါဒေါ။ (၄) အန္တရ, ဒေသ = အားလပ်သောအကြား, အရပ်ဒေသ။ ဩကာသ။ (၅) ပါတုဘာဝ = ထင်စွာဖြစ်ခြင်း။ ဩပပါတိကော။ ထို့ပြင် "အဝ-၏ အနက်များသည်လည်း "ဩ" ၏ အနက်များပင်ဖြစ်သည်" ဟု ပြဆိုထားသည်။ (၆) အဘာဝ = မရှိခြင်းအနက်။ ဩပဏ - ဝိယာ၊ ဩပတ္တ -  တို့ကြည့်။"
"O 4 ","ဩ ၄ ","undefined","","(၁)ထက်စည်။ (၂)ခွင့်ပြုခြင်း။ (၃) ဗြဟ္မာ။ (၄) ဗိသဏိုး။ (၅) သိဝနတ်။ "
"Oādesa (pu)","ဩအာဒေသ (ပု)","[ ဩ + အာဒေသ ]","[ o + ādesa ]","ဩ - အပြု။"
"Oka (pu, na)","ဩက (ပု၊ န)","[ဥစ+ဏ။","[uca+ṇa.","ကစ္စည်း။ ၅၂၈။ နီတိ၊ ဓာ။ ၂၂၃။ ရူ။ နှာ။ ၃၅၇။ ဓာန်၊ ဋီ။ ၂၀၇။ ပါစိတ်၊ ယော။ ၃၆၁။ အဝ+ဏ္ခု။ ဥ+ဂမု+ကွိ။ သံ၊ ဋီ၊ ၂။ ၂၀၉။ ဩက (သံ)] (၁) ရေ။ (၂) (က)ကျက်စားရာ။ (ခ) သာသနာ။ (၃)အိမ်။ (၄) ဖြစ်ရာ၊ တည်ရာ။ (က) အကြောင်းတရား။ (ခ) ခန္ဓာငါးပါး။ (ဂ) စက္ခု၊ ရူပါရုံ-စသည်။ (ဃ) ဝဋ်တရား။ (င) တဏှာ၊ တပ်မက်တွယ်တာခြင်း။"
"Okacara (ti)","ဩကစရ (တိ)","[ဩက+စရ+အ]","[oka+cara+a]","ကျက်စားရာအရပ်၌ လှည့်လည်တတ်သော၊ သူ၊ တယ် သမင်။ "
"Okacāraka (ti)","ဩကစာရက (တိ)","[ဩက + စရ + ဏွု။","[oka + cara + ṇvu.","ထီ-၌ဩကစာရိကာ။] ကျက်စားရာအရပ်၌ လှည့်လည်တတ်သော၊ သူ၊ တယ်သမင်။ အောက်ပုဒ်ကြည့်။"
"Okacārakamiga (pu)","ဩကစာရကမိဂ (ပု)","[ဩကစာရက + မိဂ]","[okacāraka + miga]","ကျက်စားရာအရပ်၌ လှည့်လည်တတ်သော သမင်၊ တယ်သမင်။"
"Okacārikā (thī)","ဩကစာရိကာ (ထီ)","[ဩက + စရ + ဏွု + အာ - ဣတ္ထီပစ္စည်း]","[oka + cara + ṇvu + ā - itthīpaccaññaḥ]","ကျက်စားရာအရပ်၌ လှည့်လည်တတ်သော၊ သူ၊ တိန်ညင်ဖြစ်သော သမင်မ၊ တယ်သမင်မ။ ဩကစရ-ကြည့်။"
"Okaujaha (ti)","ဩကဥ္ဇဟ (တိ)","[ဩက + ဇဟ]","[oka + jaha]","တဏှာ-ဆန္ဒရာဂ-ကို ပယ်စွန့်ပြီးသော၊ သူ။ ဇဟ၁ - လည်းကြည့်။"
