သိန္နိကဋ္ဌ (တိ),[ သံ + နိ + ကသ + တ။ နိရုတ္တိ။ ၇၃၉။ သံ - သန္နိကsၑ္ဋ။ သံနိကဋ္ဌ - ပါကတ။ ] ,နီးကပ်သော။ ,
သိန္နိကာသ (တိ) ,[ သံ + နိ + ကာသ + အ။  ဓာန်၊ ဋီ။ ၅၂၉။ သံနိကာၐ- သံ။ သိနိၐါသ၊ သံနိကာသ- ပြာ၊ သန္နိကာသ - အဒ္ဓမာဂဓီ။ ]    ,(၁) အတူ၊ တူညီသော။ (၂) ရှုမြင်အပ်သော (ကဲ့သို့ဖြစ်- အလားတူထင်ရ-သော) ။ ,
သန္နိကေတ (ပု) ,[ သံ + နိ + ကိတ + ဏ။  နီတိ၊ ဓာတု။ ၆၅။ ] ,မိမိ၏နေရာ-ဌာန-အိမ်။ ,
သန္နိက္ခေပန (န) ,[ သံ  + နိ + ခိပ + ယု။  ခိပ ဆဍ္ဍနေ။ နီတိ၊ ဓာတု။ ၁၂၁။ သံနိကေပဏ - သံ။ ] ,ခြေချခြင်း၊ မြေပြင်၌ ခြေကို-ထား- ညီမျှစွာထား - ခြင်း။,
သိန္နိဂ (ဂ္ဂ) ဏှာန္တ (တိ) ,[ သံ + နိ + ဂဟ + ဏှာ + အန္တ။  သန္နိဂ္ဂဏှာတိ-မှ။ ]    ,ကောင်းစွာ-နှိပ်ကွပ်-ဆုံးမ-သော၊ နှိပ်ကွပ်ခြင်းကို ပြုသော။ ,
သန္နိဂဏှာတိ (ကြိ) ,[ သံ + နိ + ဂဟ + ဏှာ + တိ။ သံနိဂsဟ္ဏာတိ - သံ။ ]     ,ကောင်းစွာ - နှိပ်ကွပ်- ဆုံးမ-၏။ ,
သန္နိဂ္ဂဏှာမိ (ကြိ),[ သံ + နိ + ဂဟ + ဏှာ + မိ ] ,သိန္နိဂ္ဂဏှာတိ- ကြည့်။ ,
သန္နိဃာတ (ပု),[ သံ + နိ + ဟန + ဏ။ နီတိ၊ ဓာတု။ ၁၁၉၅။ သံန္နိဃာတ-သံ။ ]    ,(အချင်းချင်း) တီးခတ်-ပွတ်တိုက်-ထိခိုက်-ပွတ်ချပ်-ခြင်း။ အောက်ပုဒ်ကြည့်။ ,
သန္နိဃာတသဒ္ဓ (ပု) ,[ သန္နိဃာတ + သဒ္ဓ ] ,(အချင်းချင်း)  တီးခတ်-ပွတ်တိုက်-ထိခိုက်-ပွတ်ချပ်- သောအသံ။,
သန္နိစယ (ပု),[ သံ + နိ + စိ + အ။  နီတိ၊ ဓာတု။ ၂၄၇-၈။ သံနိၐ္စယ -သံ။ သံနိစယ- ပြာ၊ အဒ္ဓမာဂဓီ။ ] ,(၁) သိုမှီး -သိမ်းဆည်း-စုဆောင်း-အပ်သော-အစု-အပုံ-အစိုင်အခဲ-အပေါင်းအစု။ (၂) (က) သိုမှီး-သိမ်းဆည်း- စုဆောင်း-ဆည်းပူး-ပွားစီး-ပေါင်းစု-ခြင်း။ (ခ) ပွားစေခြင်း။ (၃) ကြီးပွား- တိုးတက်- စည်ပင်-ခြင်း။ ,
သန္နိစယဉာဏမယ (တိ) ,[ သန္နိစယ + ဉာဏ + မယ ] ,ဆည်းပူးအပ်သော ဉာဏ်ဖြင့်ပြီးသော၊ ဆည်းပူးအပ်သော ဉာဏ်ကြောင့်ဖြစ်သော။,
သန္နိစိတ (တိ),[ သံ + နိ + စိ + တ။ သံနိစိတ-သံ။သံနိစိယ-ပြာ။ သံနိစိအ - အဒ္ဓမာဂဓီ။ ]   ,(၁) စုဝေးသော။ (၂) ကောင်းစွာ - သိုမှီး-သိမ်းဆည်း- စုဆောင်း-ထားအပ်သော။ (၃) မြှုပ်နှံထားအပ်သော။ (၄) ပေါင်းရုံးထားအပ်သော။ ,
သန္နိစိတရတနမယ (န) ,[ သန္နိစိတ + ရတန ] ,ကောင်းစွာ-သိုမှီး -သိမ်းဆည်း-စုဆောင်းထားအပ်သောရတနာ။ ,
သန္နိစိတလောဟိတ (န) ,[ သန္နိစိတ + လောဟိတ ] ,စုဝေး- ပေါင်းရုံး-၍တည်သော- သွေး။ ,
သန္နိစိ (စီ) ယတိ (ကမ္မ၊ ကြိ) ,[ သံ + နိ + စိ + ယ + တေ။သန္နိစိနာတိ-မှ။ နိရုတ္ထိ။ ၆၆၆။ သံနိ- စီယတေ-သံ။ ]    ,ကောင်းစွာ- သိုမှီး- သိမ်းဆည်း-စုဆောင်း-အပ်၏။ ,
သန္နိစ္စယ (ပု),[ သံ + နိ + စိ + အ ] ,သိန္နိစယ - ကြည့်။ ,
သန္နိစ္ဆယ (ပု),[ သံ + နိ + စိ + အ။  ဝဇိရ။ ၂၂-၌ သန္နိကဋ္ဌ-ဟု ရှိသည်။ သိဒ္ဓန္တ၊ ပါဏိနီ၊ ၃။ ၃၊ ၄ -၌ နိစ္ဆယ- ဟု ရှိသည်။ သံနိဂ္စယ - ဝီလျံ။ ],ကောင်းစွာ-ဆုံးဖြတ်-သတ်မှတ်-အတည်ပြုထား-အပ်သော။,
သန္နိစ္ဆိတ (တိ) ,[ သံ + နိ + စိ + တ ] ,သန္နိစ္ဆယ- ကြည့်။ ,
သန္နိဇ္စျ (န),[ သံ + နိ + ဓာ + ဏျ = သန္နိဇ္စု။ သန္နိဓျ = သန္နိဇ္စျ-သံ။  (န) သံနိဇ္စျ-ပြာ၊ အဒ္ဓမာဂဓီ။ သန္နိဓိ + ယ။ ကောတ္ထုဘ။ သမီပတာ ]    ,နီးကပ်-စုပေါင်း- ပေါင်းစည်း-ခြင်း။ ,
သန္နိဇ္စျပဝတ္ထန (န) ,[ သန္နိဇ္စျ + ပဝတ္ထန ] ,နီးကပ်-စုပေါင်း - ပေါင်းစည်း- ခြင်း၏ဖြစ်ခြင်း၊ တပေါင်းတည်းဖြစ်ခြင်း။,
သန္နိဋ္ဌပေတိ (ကာ၊ကြိ) ,[ သံ + နိ + ဌာ + ဏာပေ + တိ။ နိရုတ္တိ။ ၅၁၁-နှာ။ ကာရိတေ ကွစိ ရဿတ္တံ။ သံ + နိၑ္ဌပေတိ - သက္ကတပိဋက ]   ,ကောင်းစွာ- တည်တံ့စေ- ပြီးမြောက်စေ-ဆုံးဖြတ်- ၏။ ,
သန္နိဋ္ဌာတဗ္ဗ (တိ) ,[ သံ + နိ + ဌာ + ဏာပေ + တဗ္ဗ ] ,ကောင်းစွာ- တည်တံ့စေ - ပြီးမြောက် စေ -ဆုံးဖြတ်-အပ်သော။ အောက်ပုဒ်ကြည့်။ ,
သန္နိဋ္ဌာတဗ္ဗဓမ္မပဒဋ္ဌာန (တိ) ,[ သန္နိဋ္ဌာတဗ္ဗ + ဓမ္မ + ပဒဋ္ဌာန ] ,ကောင်းစွာ - တည်တံ့စေ- ပြီး မြောက်စေ- ဆုံးဖြတ်- အပ်သော တရားလျှင် နီးသောအကြောင်းရှိသော။ ,
သန္နိဋ္ဌာတိ (ကြိ) ,[ သံ + နိ + ဌာ + တိ ] ,ကောင်းစွာ - တည်တံ့- ပြီးမြောက်-ဆုံးဖြတ်-၏ ။ အောက်ပုဒ်ကြည့်။ ,
သန္နိဋ္ဌာတုံ (ဗျ),[ သံ + နိ + ဌာ + တုံ ] ,ကောင်းစွာ - တည်တံ့ - ပြီးမြောက်-ဆုံးဖြတ်- ခြင်းငှာ။ ,
သန္နိဋ္ဌာန ၁ (န),[ သံ + နိ + ဌာ + ယု။ သနိသ္ထာန - သံ။ သံဏိဋ္ဌာဏ-ပါကတ။ သံနိၑ္ဌာန-သက္ကတပိဋက။ ]     ,(၁) (က) ကောင်းစွာ-တည်တံ့-တန့်ရပ်-ဆုတ်နစ်-ခြင်း။ (ခ) ဆုံးဖြတ်ခြင်း။ (ဂ) (ယမိုက်ကျမ်းလာ) သန္နိဋ္ဌာန်၊ ဆုံးဖြတ်ခြင်း။ ဆုံးဖြတ်-အမြဲမှတ်-အပ်သောအနက်။ (ယမ-ကတ္ထဝိဘာဝိနီ) (၂) အဆုံးအဖြတ်၊ ဆုံးဖြတ်- ပိုင်းခြားမှတ်သား- ကြောင်းစကားရပ်။ (၃) ပြီးဆုံးခြင်း၊ အပြီးအဆုံး၊ နိဂုံး။ (၄) ဆုံးဖြတ်ရာ-အခါ-ကာလ။ ,
သန္နိဋ္ဌာန ၂ (န) ,[ သန္နိဋ္ဌာန + ပဒ။ နောက်ပုဒ်ကျေ ]    ,သန္နိဋ္ဌာန်ပုဒ်၊ သန္နိဋ္ဌာန်အနက်ကို ပြတတ်သောပုဒ်။ ,
သန္နိဋ္ဌာနကထာ (ထီ),[ သန္နိဋ္ဌာန + ကထာ ] ,ကောင်းစွာ- တည်-ဆုံးဖြတ်-သော စကား။ ,
သန္နိဋ္ဌာနကမ္မ (န) ,[ သန္နိဋ္ဌာန + ကမ္မ ] ,ဆုံးဖြတ်ကြောင်းဖြစ်သောကံ၊ အပြီးအဆုံးဖြစ်- ပြီးမြောက်စေ-သောကံ။ အပြီးသတ်သောကံ။ ,
